Time,U,V,W
0.63,24.7,-2.63,-1.15
0.64,22.73,-3.86,-0.43
0.65,22.57,1.04,0.51
0.66,23.49,1.87,1.09
0.67,24.42,2.41,1.07
0.68,24.13,2.22,0.87
0.69,26.37,2.03,0.1
0.7,27.3,4.05,-0.34
0.71,21.96,2.23,0.43
0.72,22.6,0.43,0.74
0.73,24.45,0.68,0.43
0.74,26.3,0.94,0.13
0.75,27.57,-0.12,-0.17
0.76,25.11,-1.41,-1.03
0.77,26.62,3.09,-0.51
0.78,26.57,1.61,-1.18
0.79,23.28,1.25,-0.51
0.8,22.92,1.53,-0.68
0.81,20.67,-3.22,-0.26
0.82,21.19,0.48,0.2
0.83,21.71,-0.25,1.56
0.84,24.31,-0.64,1.5
0.85,26.91,-1.04,1.44
0.86,27.73,3.05,-0.27
0.87,26.55,1.13,-0.57
0.88,26.33,0.82,-0.74
0.89,26.12,0.52,-0.91
0.9,27.77,1.11,-1.04
0.91,27.23,1.49,-0.93
0.92,25.9,-1.77,-0.28
0.93,24.77,-0.97,-0.44
0.94,25.65,-2.45,-0.43
0.95,22.73,-2.63,0.03
0.96,27.93,-1.48,0.01
0.97,24.03,3.25,0.34
0.98,25.87,0.19,0.99
0.99,25.63,1.73,0.88
1,25.4,3.28,0.78
1.01,23.73,3.86,1.47
1.02,23.39,4.34,0.1
1.03,23.11,1.25,-0.06
1.04,22.84,-1.83,-0.24
1.05,21.61,-4.52,0.52
1.06,21.92,-1.74,0.74
1.07,22.23,-2.45,1.98
1.08,23.43,-1.88,1
1.09,24.64,-1.12,1.63
1.1,26.32,1.06,1.33
1.11,28.09,0.2,1.04
1.12,31.15,1.38,0.33
1.13,32.02,2.56,-0.37
1.14,32.89,1.27,-1.79
1.15,27.57,0.93,-1.89
1.16,30.72,-2.81,-2.29
1.17,29.14,-0.93,-2.08
1.18,26.35,2.48,-1.14
1.19,27.11,1.7,-0.31
1.2,27.88,0.92,0.52
1.21,26.24,4.41,0.31
1.22,31.06,1.09,0.3
1.23,32.13,2.03,-1.67
1.24,30.66,2.98,-2.45
1.25,31.07,-0.3,-2.4
1.26,30.23,3.76,-2.09
1.27,29.83,2.92,-1.79
1.28,29.44,2.08,-1.22
1.29,28.12,1.56,-1.76
1.3,26.8,1.04,-2.19
1.31,26.67,0.02,-2.57
1.32,26.55,-0.99,-1.97
1.33,22.73,-3.84,-1.38
1.34,24.64,-2.41,-2.17
1.35,27.68,0.15,-2.25
1.36,26.78,-4.1,-2.09
1.37,25.82,-2.14,-1.75
1.38,24.87,-0.19,-1.42
1.39,25.83,1.51,-1.63
1.4,27.61,2.31,-1.29
1.41,28.92,1.59,-1.36
1.42,27.37,0.17,-0.89
1.43,21.99,-0.2,0.17
1.44,24.25,-2.7,0.43
1.45,25.8,-3.55,1.05
1.46,27.36,-4.41,1.68
1.47,29.08,-4.3,1.68
1.48,30,-5.04,0.92
1.49,29.19,-4.53,0.74
1.5,31.22,-4.03,-0.29
1.51,28.44,-3.91,-0.19
1.52,25.67,-3.79,-0.1
1.53,27.2,0.74,0.06
1.54,27.97,0.52,-0.13
1.55,28.7,1.93,-0.01
1.56,31.1,1.63,-0.37
1.57,33.5,1.33,-0.73
1.58,32.46,3.33,-1.55
1.59,29.96,2.55,-1.76
1.6,28.47,-0.57,-1.43
1.61,29.21,0.99,-1.59
1.62,25.72,2.83,0.31
1.63,28.13,4.67,0.46
1.64,29.64,5.77,-0.44
1.65,28.88,1.81,0.01
1.66,32.92,-2.14,2.26
1.67,30.9,2.37,1.13
1.68,30.86,0.01,-1.81
1.69,29.73,-1.05,-1.38
1.7,27.82,0.6,-1.65
1.71,26.64,-1.37,-1.26
1.72,29.94,-3.11,-0.63
1.73,31.22,-1.09,-0.86
1.74,28.66,0.99,-1.28
1.75,26.1,3.07,-1.71
1.76,30.91,2.95,-0.23
1.77,28.87,1.63,-0.24
1.78,25.31,3.48,0.39
1.79,23.09,2.68,0.56
1.8,25.06,2.89,-0.04
1.81,27.51,2.32,-0.97
1.82,29.96,1.75,-1.9
1.83,26.79,4.4,-1.42
1.84,25.39,4.45,-0.48
1.85,24,4.5,0.46
1.86,28.7,3.59,-0.21
1.87,25.6,-1.22,-0.17
1.88,26.98,-2.22,-0.73
1.89,26.08,1.86,-0.1
1.9,25.97,0.6,-0.81
1.91,26.26,-1.46,-0.2
1.92,26.93,-0.55,0.17
1.93,29.64,0.21,-1.15
1.94,28.28,-0.17,-0.49
1.95,31.24,1.38,-1.1
1.96,29.76,2.93,-1.72
1.97,28.23,5.74,-2.08
1.98,29.57,5.45,-1.61
1.99,26.03,6.15,-1.15
2,27.8,4.24,-1.8
2.01,29.26,2.34,-1.63
2.02,25.7,1.36,-1.83
2.03,26.98,-0.41,-2.36
2.04,26.93,-0.2,-2.33
2.05,24.6,-1.92,-1.54
2.06,22.86,0,-0.76
2.07,24.41,0.68,0.83
2.08,25.97,1.36,2.43
2.09,28.33,1.66,2.19
2.1,28.77,-0.9,1.28
2.11,29.21,-3.48,0.38
2.12,27.34,0.91,0.93
2.13,24.52,-0.63,0.57
2.14,25.08,1.09,0.63
2.15,24.65,1.29,0.74
2.16,26.1,1.84,0.74
2.17,23.87,4.41,0.52
2.18,25.65,3.38,0.94
2.19,27.43,2.36,1.37
2.2,24.86,0.6,1.13
2.21,26.06,1.02,1.38
2.22,26.64,-0.66,1.22
2.23,27.66,-0.31,1.1
2.24,28.33,2.65,0.71
2.25,26.17,1.52,-0.41
2.26,29.64,0.83,-2.3
2.27,28.56,-2.49,-2.43
2.28,28.78,-4.49,-2.67
2.29,30.64,-3.92,-3.02
2.3,32.17,-5.07,-3.4
2.31,30.91,-8.44,-3.23
2.32,26.19,-8.72,-3.33
2.33,28.55,-6.47,-3.18
2.34,28.85,-4.23,-2.92
2.35,26.06,-5.25,-2.5
2.36,24.48,-7.82,-2.08
2.37,24.01,-8.3,-1.73
2.38,21.35,-6.5,0
2.39,24.59,-4.71,0.55
2.4,27.84,-0.65,1.1
2.41,31.25,3.84,0.49
2.42,27.7,2.18,-1.05
2.43,24.91,1.01,0.52
2.44,27.16,-1.14,1.3
2.45,27.46,-0.52,1.35
2.46,27.77,0.1,1.42
2.47,30.7,-0.51,-0.49
2.48,25.52,-4.19,-1.2
2.49,22.75,-1.13,0.31
2.5,24.95,-1.86,1.76
2.51,25.69,-2.25,1.78
2.52,31.29,-2.65,1.04
2.53,28.42,-2.35,1.26
2.54,25.56,-2.07,1.49
2.55,22.43,2.44,1.65
2.56,22.52,-1.25,1.4
2.57,22.61,-1.99,1.15
2.58,21.44,-2.74,2.15
2.59,24.9,-1.94,2.55
2.6,28.36,-1.15,2.15
2.61,28.38,-3.79,1.75
2.62,23.08,-1.54,0.94
2.63,25.73,-2.66,1.34
2.64,30.41,0.54,0.76
2.65,29.39,-0.38,0.31
2.66,29.1,0.81,-0.73
2.67,21.76,1.15,0.27
2.68,25.43,0.98,-0.22
2.69,25.52,0.83,1.12
2.7,26.91,-0.1,2.47
2.71,27.64,2.16,1.81
2.72,26.71,0.65,1
2.73,28.04,1.16,0.68
2.74,29.19,0.94,0
2.75,24.77,-3.73,0.27
2.76,26.06,-1.75,0.3
2.77,21.99,-0.91,0.92
2.78,23.77,-0.48,0.15
2.79,23.99,-0.59,-0.38
2.8,24.21,-0.71,-0.92
2.81,26.78,-2.33,0.27
2.82,25.49,-3.95,0.17
2.83,28.36,-1.56,-0.38
2.84,25.06,0.41,0.07
2.85,26.93,-1.39,0.06
2.86,28.81,-3.2,0.05
2.87,29.89,2.81,-1.21
2.88,31.7,-0.03,-1.42
2.89,33.43,-0.26,-1.68
2.9,29.72,-0.26,-1.94
2.91,26.01,-0.27,-1.37
2.92,27.43,0.65,-0.92
2.93,29.21,0.81,-1.6
2.94,29.31,0.95,-1.85
2.95,29.42,1.09,-2.1
2.96,33.11,-3.2,-2
2.97,31.27,-1.05,-2.05
2.98,33.43,-1.89,-1.36
2.99,34.25,1.13,-2.21
3,34.49,0.99,-1.88
3.01,33.61,0.85,-1.56
3.02,32.73,-4.19,-1.77
3.03,32.33,-0.41,-0.68
3.04,32.82,4.06,0
3.05,32.48,3.29,-1.4
3.06,30.01,1.84,-0.06
3.07,32.12,1.43,0.46
3.08,32.09,-1.53,-1.04
3.09,32.07,-0.1,-1.6
3.1,30.75,1.79,-1.78
3.11,29.44,3.68,-1.97
3.12,29.89,0.13,-2.12
3.13,31.67,-0.7,-2.12
3.14,30.17,-0.4,-2.14
3.15,29,0.34,-1.22
3.16,27.43,-0.33,-0.75
3.17,25.88,-1.02,-0.28
3.18,28.02,4.78,-0.07
3.19,27.93,2.37,-0.34
3.2,29.86,-1.11,-0.2
3.21,31.8,0.63,-0.27
3.22,32.49,-0.19,-0.65
3.23,31.41,-2.67,0.27
3.24,30.34,0.37,0.08
3.25,27.92,3.01,0.79
3.26,28.1,5.03,1.13
3.27,28.29,3.97,1.48
3.28,28.45,2.92,0.28
3.29,28.67,4.82,0.41
3.3,28.61,2.32,0.52
3.31,29.35,3.73,-1.07
3.32,27.54,2.39,-1.37
3.33,26.1,2.48,-1.18
3.34,29.69,-3.37,-1.62
3.35,27.89,-0.44,-1.4
3.36,30.1,1.4,-1.29
3.37,31.61,-0.38,-2.2
3.38,28.63,-0.46,-1.65
3.39,27.93,-1.91,-1.08
3.4,27.23,-3.37,-0.52
3.41,26.79,-4.32,-0.99
3.42,28.5,-4.76,-1.3
3.43,28.1,-4.09,-1.2
3.44,28.93,-2.5,-1.33
3.45,29.76,-0.93,-1.47
3.46,28.76,-1.67,-0.04
3.47,30.52,-1.24,0.52
3.48,32.28,-0.81,1.09
3.49,29.67,-4.08,-0.17
3.5,27.37,-0.13,-0.15
3.51,27.07,-1.64,-0.49
3.52,27.17,-0.47,-0.43
3.53,27.27,0.7,-0.37
3.54,30.66,2.99,-1.56
3.55,31.72,-3.92,-1.78
3.56,31.19,-0.46,-2
3.57,26.51,0.71,-0.05
3.58,28.85,0.12,-1.02
3.59,29.75,2.31,-2.1
3.6,28.25,3.1,-2.37
3.61,29.32,3.59,-2.23
3.62,30.39,4.1,-2.1
3.63,28.2,1.71,-1.05
3.64,31.52,2.28,-1.71
3.65,29.15,-1.7,-1.67
3.66,25.88,1.82,-1.4
3.67,27.98,2.35,-1.54
3.68,25.89,3.43,-1.15
3.69,26.12,1.66,-0.89
3.7,26.35,-0.1,-0.63
3.71,27.63,1,-1.01
3.72,29,1.98,-1.68
3.73,27.4,3.46,-1.93
3.74,23.74,4.9,-0.72
3.75,21.97,5.13,-0.87
3.76,26.56,4.87,-0.33
3.77,31.15,4.61,0.19
3.78,29.64,3.18,0.49
3.79,26.58,-0.57,-0.12
3.8,28.36,-1.66,-0.06
3.81,24.44,-3.68,0.06
3.82,23.44,-2.82,0.24
3.83,24.7,-1.97,0.7
3.84,26.03,1.47,0.63
3.85,27.28,-0.56,-0.02
3.86,27.25,-0.47,-0.39
3.87,27.23,-0.38,-0.77
3.88,28.13,-3.53,-0.19
3.89,27,1.2,-0.87
3.9,27.02,0.46,-1.18
3.91,26.4,1,-0.94
3.92,25.78,0.32,-0.93
3.93,24.81,2.08,-0.63
3.94,27.2,0.46,-0.26
3.95,27.04,-1.6,-0.09
3.96,26.32,0.03,0.13
3.97,25.9,2,-0.09
3.98,25.49,3.97,-0.32
3.99,24.95,0.23,-0.3
4,24.49,0.8,0.27
4.01,25.63,1.72,0.51
4.02,23.55,4.63,1.22
4.03,22.41,4.25,0.43
4.04,24.33,4.94,0.93
4.05,25.88,1.76,-0.17
4.06,23.19,2.52,0.52
4.07,25.54,-2.08,-0.27
4.08,26.66,0.86,-0.46
4.09,27.18,0.65,-0.57
4.1,29.49,0.54,-1.48
4.11,26.8,0.65,-1.61
4.12,26.03,-1.18,-1.37
4.13,21.45,-3.46,0.46
4.14,23.74,-2.32,-0.45
4.15,24.39,-3.17,-0.1
4.16,23.28,-1.53,0.1
4.17,22.17,0.1,0.31
4.18,25.06,2.44,0.03
4.19,25.22,3.18,-0.03
4.2,25.97,4,-0.28
4.21,26.73,4.83,-0.54
4.22,25.04,2.26,-0.57
4.23,24.87,-0.77,-0.74
4.24,26.37,1.73,-0.3
4.25,24.7,4.54,0.24
4.26,23.04,3.13,-0.03
4.27,22.31,2.5,1.48
4.28,22.85,0.81,0.93
4.29,21.51,1.67,1.06
4.3,20.9,2.4,1.79
4.31,21.73,3.13,2.52
4.32,22.57,3.79,2.54
4.33,24.86,4.45,2.34
4.34,23.75,2.95,2.15
4.35,25.45,1.85,1.26
4.36,23.11,0.76,0.69
4.37,21.93,-0.6,0.38
4.38,24.67,-0.98,0.19
4.39,27.41,-1.37,0.01
4.4,26.26,0.37,0.35
4.41,26.3,-1.6,0.18
4.42,26.35,-3.59,0.01
4.43,24.63,-3.05,0.08
4.44,22.92,-2.51,0.15
4.45,22.31,-0.85,0.98
4.46,24.04,0.47,0.8
4.47,25.78,1.79,0.63
4.48,24.81,-0.52,0
4.49,25.08,-3.16,0.12
4.5,26.96,-4.31,-0.08
4.51,24.34,-4.52,0.54
4.52,24.7,-4.74,0.91
4.53,29.82,-4.59,1.86
4.54,30.43,-4.45,0.66
4.55,29.71,-4.33,-0.16
4.56,28.99,-4.21,-0.99
4.57,26.89,-4.12,0.31
4.58,30.75,-4.03,0.37
4.59,30.21,-3.11,0.3
4.6,29.8,-4.52,0.57
4.61,30,-6.14,0.43
4.62,31.49,-5.19,-0.05
4.63,28.73,-4.25,0.45
4.64,25.97,-0.74,0.96
4.65,27.5,-2.37,1.35
4.66,27.13,-5.99,0.7
4.67,26.76,-5.13,0.06
4.68,28,-4.27,0.82
4.69,27.05,-5.21,0.6
4.7,27.75,-5.72,1.33
4.71,28.45,-5.32,2.06
4.72,25.25,-4.02,1.54
4.73,24.18,-2.73,0.92
4.74,23.11,-0.54,0.31
4.75,24.44,0.91,1.43
4.76,23.42,2.31,1.15
4.77,23.28,0.76,1.35
4.78,25.56,1.16,2.42
4.79,24.9,-0.93,2.41
4.8,23.39,-0.3,2.74
4.81,22.89,0.83,3.14
4.82,22.4,0.94,3.42
4.83,24.79,0.35,3.23
4.84,23.78,2.47,2.31
4.85,28.92,4.92,1.41
4.86,26.35,3.7,2.23
4.87,26.71,-1.96,0.96
4.88,26.42,-4.52,0.65
4.89,25.2,-1.26,-0.13
4.9,24.58,-2.37,-0.43
4.91,25.18,-4.69,-0.38
4.92,22.65,-3.68,-1.13
4.93,22.8,-4.16,-0.85
4.94,22.95,-4.65,0.17
4.95,21.89,-3.18,1.48
4.96,24.67,-0.98,1.96
4.97,28.51,0.49,2.17
4.98,26.08,-1.37,0.35
4.99,27.37,-0.49,-0.68
5,28.02,-2.12,-1.27
5.01,24.21,-2.82,-0.74
5.02,23.4,-3.63,-1.02
5.03,22.6,-4.46,-0.88
5.04,25.72,-3.31,1.47
5.05,28.1,-4.05,2.27
5.06,28.3,-4.4,2.46
5.07,28.51,-4.76,2.57
5.08,27.03,-0.17,2.6
5.09,27.16,0.2,2.52
5.1,27.23,-1.15,2.44
5.11,26.82,-3.18,2.41
5.12,26.69,-4.25,2
5.13,25.18,-4.11,1.6
5.14,24.81,-1.75,2.52
5.15,24.94,0.6,3.09
5.16,27.34,2.6,3.49
5.17,29.75,4.61,2.3
5.18,28.74,4.65,1.11
5.19,27.08,0.83,0.77
5.2,26.88,0.17,0.38
5.21,26.69,-0.48,0
5.22,25.6,-1.16,0.52
5.23,21.18,-0.49,1.72
5.24,20.5,1.61,2.07
5.25,20.3,1.87,3.3
5.26,22.69,2.15,3.22
5.27,25.09,0.26,2.48
5.28,30.07,-1.62,1.75
5.29,26.89,-1.47,1.14
5.3,23.71,-1.32,0.54
5.31,23.79,2.25,-0.13
5.32,21.48,-1.03,0.63
5.33,22.02,2.95,0.77
5.34,22.56,-1.56,1.87
5.35,22.46,-0.91,1.89
5.36,22.36,-0.27,1.92
5.37,26.33,0.28,1.67
5.38,25.54,-0.13,1.27
5.39,26.37,-1.25,1.1
5.4,24.98,0.74,2.19
5.41,25.69,1.49,1.05
5.42,25.42,-1.12,1.08
5.43,25.15,-3.73,1.11
5.44,24.44,0.12,1.37
5.45,23.22,3.94,1.5
5.46,21.25,3.13,1.64
5.47,22.52,2.34,1.86
5.48,23.8,-0.38,2.08
5.49,25.87,-1.66,1.49
5.5,25.81,-0.31,0.76
5.51,24.46,-0.63,0.93
5.52,22.25,-0.2,0.34
5.53,23.1,-1.75,0.49
5.54,22.12,-2.8,0.82
5.55,21.15,-3.86,1.15
5.56,25.83,-3.33,1.3
5.57,24.33,-2.83,1.09
5.58,24.36,-1.59,1.2
5.59,24.39,-0.35,1.32
5.6,22.48,-0.55,1.46
5.61,22.22,-0.13,2.29
5.62,23.33,-1.13,2.52
5.63,24.07,-0.38,2.48
5.64,21.93,0.48,2.45
5.65,22.81,-0.76,2.48
5.66,23.34,1.13,1.54
5.67,23.81,2.54,1.42
5.68,24.97,0.35,1.03
5.69,26.14,1.93,1.36
5.7,28.48,-3.05,1.37
5.71,26.54,-3.88,1.05
5.72,24.6,-4.72,0.73
5.73,24.15,-2.87,1.02
5.74,25.09,-1.02,1.19
5.75,24.39,-1.62,1.81
5.76,27.84,-2.78,1.41
5.77,25.31,-1.16,1.11
5.78,25.02,0.74,0.68
5.79,25.45,-3.57,0.91
5.8,27.46,-3.22,1.51
5.81,24.66,1.09,-0.12
5.82,24.07,-0.13,0.24
5.83,23.81,-0.3,0.57
5.84,24.44,-0.72,0.24
5.85,25.08,-1.15,-0.08
5.86,23.36,-2.2,0.46
5.87,21.63,-2.75,1.29
5.88,25.67,-0.4,1.53
5.89,23.75,-1.53,0.82
5.9,22.68,0.77,0.61
5.91,21.8,1.58,0.93
5.92,21.4,2.4,1.26
5.93,22.12,1.46,1.26
5.94,22.85,2.16,0.81
5.95,22.33,2.73,0.63
5.96,22.22,0.27,0.73
5.97,22.12,-1.24,0.81
5.98,23.19,-2.75,0.89
5.99,22.15,-3.09,0.2
6,21.3,-3.44,0.33
6.01,22.06,-3.75,-0.21
6.02,22.83,-3.44,0.15
6.03,22.82,-3.58,0.65
6.04,21.66,-2.68,0.92
6.05,21.54,-1.78,1.2
6.06,21.43,-2.37,1.16
6.07,22.03,-1.14,1.4
6.08,22.64,0.08,1.64
6.09,22.15,-0.91,2.31
6.1,24.34,-3.84,1.92
6.11,24.9,-3.44,1.85
6.12,21.64,-3.26,1.09
6.13,21.6,-0.03,1.26
6.14,21.57,-0.91,1.68
6.15,21.2,-1.27,1.98
6.16,21.51,0.63,2.49
6.17,21.56,-0.06,2.3
6.18,21.62,0.08,1.52
6.19,22.57,-0.57,2.04
6.2,22.04,-0.94,1.46
6.21,21.52,-1.31,0.89
6.22,23.03,-4.1,1.2
6.23,25.15,-2.29,0.68
6.24,27.14,4.28,0.35
6.25,26.14,0.99,0.51
6.26,22.4,-0.71,-0.91
6.27,23.37,-3.28,-0.97
6.28,23.82,-2.64,-0.34
6.29,24.1,0.82,-0.24
6.3,26.21,-1.25,-0.13
6.31,26.73,-2.87,-0.12
6.32,25.63,1.46,0
6.33,25.44,0.37,-0.24
6.34,25.26,-0.71,-0.49
6.35,24.71,-3.88,-0.41
6.36,22.58,-1.92,0.13
6.37,21.17,-0.88,-0.03
6.38,21.6,-2.4,1.15
6.39,23.19,-4.54,1.26
6.4,22.94,-4.78,1.25
6.41,25.01,-6.07,0.96
6.42,27.09,-4.98,0.68
6.43,23,-3.9,0.97
6.44,25.08,-4.5,0.31
6.45,24.86,-2.32,0.34
6.46,25.26,-0.15,0.46
6.47,25.15,1.76,0.06
6.48,26.94,-3.92,0.19
6.49,26.71,-2.33,-0.86
6.5,29.73,-8.71,-2.15
6.51,23.38,-10.17,-1.42
6.52,26.55,-11.77,-1.78
6.53,24.96,-12.13,-1.6
6.54,25.75,-12.53,-1.69
6.55,25.35,-12.62,-1.64
6.56,25.55,-12.72,-1.66
6.57,25.45,-12.74,-1.65
6.58,25.5,-12.76,-1.65
6.59,25.47,-12.76,-1.65
6.6,25.48,-12.77,-1.65
6.61,25.47,-12.77,-1.65
6.62,25.47,-12.77,-1.65
6.63,25.47,-12.77,-1.65
6.64,25.47,-12.77,-1.65
6.65,25.47,-12.77,-1.65
6.66,25.47,-12.77,-1.65
6.67,25.47,-12.77,-1.65
6.68,25.47,-12.77,-1.65
6.69,25.47,-12.77,-1.65
6.7,25.47,-12.77,-1.65
6.71,25.47,-12.77,-1.65
6.72,25.47,-12.77,-1.65
6.73,25.47,-12.77,-1.65
6.74,25.47,-12.77,-1.65
6.75,25.47,-12.77,-1.65
6.76,25.47,-12.77,-1.65
6.77,25.47,-8.2,-1.65
6.78,24.6,-3.64,1.02
6.79,26.12,1.56,0.63
6.8,25.08,1.89,0.63
6.81,25.78,0.74,-0.66
6.82,24.34,0.8,-1.54
6.83,23.67,0.01,-1.23
6.84,23.01,-0.78,-0.93
6.85,22.02,1.91,-0.07
6.86,22.29,4.61,-0.06
6.87,22.92,2.72,0.44
6.88,24.59,1.48,0.82
6.89,23.95,-0.15,1.22
6.9,25.42,1.75,1.73
6.91,25.11,0.88,1.09
6.92,26.48,4.67,0.78
6.93,25.99,2.2,-0.37
6.94,25.92,1.35,-0.49
6.95,26.57,0.57,-0.7
6.96,24.81,0.63,-0.62
6.97,26.09,-1.17,-0.66
6.98,27.05,-0.33,-0.64
6.99,28.02,0.49,-0.63
7,28.06,-0.87,-1.15
7.01,28.31,-2.08,-1.6
7.02,25.81,-0.41,-1.46
7.03,27.02,-0.85,-1.24
7.04,26.35,3.07,-0.65
7.05,24.9,1.12,-0.65
7.06,23.46,-0.83,-0.65
7.07,27.5,0.74,-1.43
7.08,24.44,2.22,0.38
7.09,23.89,-2.65,0.08
7.1,23.45,1.15,-0.23
7.11,23.88,2.4,0.13
7.12,24.31,-0.28,0.44
7.13,25.72,2.62,0.57
7.14,23.21,4.19,0.63
7.15,23.47,0.28,0.23
7.16,24.33,-1.71,0.24
7.17,23.9,-3.71,0.23
7.18,24.42,-1.31,0.15
7.19,22.72,-0.19,0.43
7.2,23.46,0.92,0.71
7.21,24.21,-0.97,0.55
7.22,22.67,-0.41,0.93
7.23,21.13,-0.93,0.83
7.24,21.93,0.24,1.34
7.25,22.74,1.43,1.86
7.26,30.41,-2.58,1.33
7.27,26.57,-0.57,1.59
7.28,26.94,-3.82,-0.47
7.29,27.27,-1.2,-1.52
7.3,21.89,0.85,-0.14
7.31,20.54,2.91,1.24
7.32,22.96,1.88,0.55
7.33,25.38,3.24,1.5
7.34,27.86,1.41,2.45
7.35,24.54,0.98,1.77
7.36,25.69,0.35,1.75
7.37,23.9,1.03,0.66
7.38,25.54,-1.15,0.59
7.39,26.4,0.49,0.66
7.4,25.35,0.21,0.21
7.41,24.31,-0.07,-0.23
7.42,22.66,4.18,0.77
7.43,24,4.12,1.09
7.44,23.73,4.06,1.78
7.45,23.47,0.51,0.88
7.46,26.73,-0.49,0.71
7.47,25.83,0,1.07
7.48,30.23,1.4,1.72
7.49,28.81,-0.82,-0.32
7.5,24.94,-1.46,0.27
7.51,26.87,-1.14,-0.02
7.52,29.07,-2.12,-0.42
7.53,28.88,3.57,-0.77
7.54,25.06,4.32,-1.09
7.55,23.82,1.21,-0.12
7.56,22.58,2.76,-0.6
7.57,27.34,4.65,0.94
7.58,28.52,4.36,0.6
7.59,26.8,3.33,0.17
7.6,28.69,4.8,0.19
7.61,29.69,5.66,0.4
7.62,28.27,5.85,1.56
7.63,26.85,5.05,1.99
7.64,25.45,4.26,2.43
7.65,25.96,3.63,1.95
7.66,26.48,3.02,1.48
7.67,28.92,4.81,1.68
7.68,27.42,5.83,1.43
7.69,25.92,6.25,1.19
7.7,26.53,5.68,0.93
7.71,28.16,3.31,-0.54
7.72,25.13,0.94,-0.6
7.73,22.11,-3.22,-0.66
7.74,23.61,-1.14,-0.63
7.75,26.19,0.82,0.78
7.76,24.9,2.78,0.07
7.77,26.87,0.31,0.31
7.78,26.08,0.23,0.93
7.79,25.94,2.05,1.2
7.8,26.01,3.87,1.06
7.81,32.73,4.41,0.46
7.82,29.37,4.14,0.76
7.83,28.71,7.59,-0.65
7.84,30.46,8.97,-1.07
7.85,28.49,9.31,-1.66
7.86,26.49,9.13,-2.26
7.87,24.5,9.07,-1.9
7.88,26.25,9.08,-2.27
7.89,28,7.83,-1.79
7.9,23.48,7.76,-1.32
7.91,20.81,5.2,0.48
7.92,21.06,2.65,1.82
7.93,21.31,0.74,3.25
7.94,20.98,-0.31,3.59
7.95,20.65,0.21,3.95
7.96,20.56,-0.05,4.03
7.97,20.47,0.07,4.12
7.98,21.52,0.01,4.23
7.99,22.57,3.56,4.13
8,29.94,4.88,4.15
8.01,26.25,0.46,3.73
8.02,25.56,-3.95,3.73
8.03,25.9,1.12,3.52
8.04,25.74,0.83,2.64
8.05,31.02,4.5,1.76
8.06,28.38,2.66,2.53
8.07,22.54,2.73,0.96
8.08,22.33,2.53,0.41
8.09,22.12,2.34,1.2
8.1,24.69,0,0.68
8.11,22.45,-2.77,-0.15
8.12,21.48,-3.86,-0.15
8.13,22.07,-4.16,0.37
8.14,22.66,-2.78,0.89
8.15,26.36,-3.72,0.14
8.16,27.18,-4.65,0.05
8.17,28.02,-4.63,-0.03
8.18,26.51,-4.61,-0.85
8.19,28.06,-2.53,-2.03
8.2,25.01,-1.13,-1.23
8.21,21.96,0.27,-0.43
8.22,21.61,-1.11,1.31
8.23,21.78,-2.5,0.44
8.24,24.7,-0.76,2.32
8.25,21.49,1.32,1.11
8.26,21.31,-0.41,1.2
8.27,22.74,-1.67,1.6
8.28,22.57,0.87,1.26
8.29,23.47,1.6,1.15
